,"
Rehersal Scheduele",,,,,,,
,"Week of:
",September 11,,Get information for your days of Rehersal,,,,
,,9/11,9/12,9/13,9/14,9/15,9/16,9/17
,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,8:00 AM ,,,,,,,
,8:30 AM ,,,,,,,
,9:00 AM ,,,,,,,
,9:30 AM ,,,,,,,
,10:00 AM ,,,,,,,
,10:30 AM ,,,,,,,
,11:00 AM ,,,,,,,
,11:30 AM ,,,,,,,
,12:00 PM ,,,,,,,
,12:30 PM ,,,,,,,
,1:00 PM ,,,,,,,
,1:30 PM ,,,,,,,
,2:00 PM ,,,,,,,
,2:30 PM ,,,,,,,
,3:00 PM ,,,,,,,
,3:30 PM ,,,,,,,
,4:00 PM ,,,,,,,
,4:30 PM ,,,,,,,
,5:00 PM ,,,,,,,
,5:30 PM ,,,,,,,
,6:00 PM ,,,,,,,
,6:30 PM ,,,,,,,
,,,,,,,,
,NOTES,,,,,,,
